Labor Force Statistics from the Current Population Survey,,,
,,,
Series Title,"(unadj) Employed - Mining, quarrying, and oil and gas extraction, Installation, maintenance, and repair occupations (7000-7630), men",,
Series ID,LNU02041892,,
Seasonality,Not Seasonally Adjusted,,
Survey Name,Labor Force Statistics from the Current Population Survey,,
Measure Data Type,Number in thousands,,
Industry,"Mining, quarrying, and oil and gas extraction",,
Occupation,"Installation, maintenance, and repair occupations",,
Labor Force Status,Employed,,
Age,16 years and over,,
Ethnicity,All Origins,,
Race,All Races,,
Gender,Men,,
Education or Training,All educational levels,,
,,,
,,,
Year,Period,Label,Observation Value
2010,M12,2010 Dec,43
2011,M12,2011 Dec,53
2012,M01,2012 Jan,52
2012,M02,2012 Feb,58
2012,M03,2012 Mar,73
2012,M04,2012 Apr,88
2012,M05,2012 May,94
2012,M06,2012 Jun,90
2012,M07,2012 Jul,88
2012,M08,2012 Aug,79
2012,M09,2012 Sep,87
2012,M10,2012 Oct,84
2012,M11,2012 Nov,78
2012,M12,2012 Dec,60
2013,M01,2013 Jan,63
2013,M02,2013 Feb,90
2013,M03,2013 Mar,101
2013,M04,2013 Apr,99
2013,M05,2013 May,80
2013,M06,2013 Jun,73
2013,M07,2013 Jul,83
2013,M08,2013 Aug,84
2013,M09,2013 Sep,74
2013,M10,2013 Oct,77
2013,M11,2013 Nov,95
2013,M12,2013 Dec,80
2014,M01,2014 Jan,91
2014,M02,2014 Feb,115
2014,M03,2014 Mar,98
2014,M04,2014 Apr,71
2014,M05,2014 May,67
2014,M06,2014 Jun,80
2014,M07,2014 Jul,107
2014,M08,2014 Aug,110
2014,M09,2014 Sep,100
2014,M10,2014 Oct,110
2014,M11,2014 Nov,81
2014,M12,2014 Dec,50
2015,M01,2015 Jan,57
2015,M02,2015 Feb,56
2015,M03,2015 Mar,59
2015,M04,2015 Apr,66
2015,M05,2015 May,93
2015,M06,2015 Jun,94
2015,M07,2015 Jul,85
2015,M08,2015 Aug,77
2015,M09,2015 Sep,62
2015,M10,2015 Oct,84
2015,M11,2015 Nov,59
2015,M12,2015 Dec,67
2016,M01,2016 Jan,70
2016,M02,2016 Feb,56
2016,M03,2016 Mar,60
2016,M04,2016 Apr,72
2016,M05,2016 May,47
2016,M06,2016 Jun,55
2016,M07,2016 Jul,52
2016,M08,2016 Aug,48
2016,M09,2016 Sep,49
2016,M10,2016 Oct,43
2016,M11,2016 Nov,42
2016,M12,2016 Dec,32
2017,M01,2017 Jan,35
2017,M02,2017 Feb,43
2017,M03,2017 Mar,38
2017,M04,2017 Apr,52
2017,M05,2017 May,54
2017,M06,2017 Jun,59
2017,M07,2017 Jul,66
2017,M08,2017 Aug,64
2017,M09,2017 Sep,63
2017,M10,2017 Oct,61
2017,M11,2017 Nov,48
2017,M12,2017 Dec,62
2018,M01,2018 Jan,57
2018,M02,2018 Feb,62
2018,M03,2018 Mar,51
2018,M04,2018 Apr,65
2018,M05,2018 May,73
2018,M06,2018 Jun,69
2018,M07,2018 Jul,57
2018,M08,2018 Aug,62
2018,M09,2018 Sep,40
2018,M10,2018 Oct,40
2018,M11,2018 Nov,41
2018,M12,2018 Dec,34
2019,M01,2019 Jan,36
2019,M02,2019 Feb,53
2019,M03,2019 Mar,55
2019,M04,2019 Apr,43
2019,M05,2019 May,58
2019,M06,2019 Jun,56
2019,M07,2019 Jul,61
2019,M08,2019 Aug,48
2019,M09,2019 Sep,56
2019,M10,2019 Oct,48
2019,M11,2019 Nov,57
2019,M12,2019 Dec,58
2020,M01,2020 Jan,60
2020,M02,2020 Feb,57
2020,M03,2020 Mar,41
2020,M04,2020 Apr,26
2020,M05,2020 May,44
2020,M06,2020 Jun,36
2020,M07,2020 Jul,32
2020,M08,2020 Aug,36
2020,M09,2020 Sep,37
2020,M10,2020 Oct,19
2020,M11,2020 Nov,29
2020,M12,2020 Dec,38
2021,M01,2021 Jan,45
2021,M02,2021 Feb,42
2021,M03,2021 Mar,37
2021,M04,2021 Apr,52
2021,M05,2021 May,45
2021,M06,2021 Jun,46
2021,M07,2021 Jul,52
2021,M08,2021 Aug,48
