U.S. Energy Information Administration,,,,,,,,,,,,,
August 2021 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: August 26, 2021",,,,,,,,,,,,,
"Next Update: September 27, 2021",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 1.2 Primary Energy Production by Source,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu)
1973 January,1.166486,1.908249,1.649833,0.208064,4.932632,0.068103,0.272703,0.001491,Not Available,Not Available,0.129787,0.403981,5.404715
1973 February,1.086072,1.922543,1.525783,0.195184,4.729582,0.064634,0.242199,0.001363,Not Available,Not Available,0.117338,0.3609,5.155115
1973 March,1.196571,1.86843,1.667094,0.214807,4.946902,0.072494,0.26881,0.001412,Not Available,Not Available,0.129938,0.400161,5.419556
1973 April,1.11223,1.777561,1.616791,0.20969,4.716271,0.06407,0.253185,0.001649,Not Available,Not Available,0.125636,0.38047,5.160812
1973 May,1.216978,1.859241,1.665377,0.215398,4.956995,0.062111,0.26077,0.001537,Not Available,Not Available,0.129834,0.392141,5.411246
1973 June,1.103861,1.802065,1.603224,0.206945,4.716096,0.073968,0.249859,0.001763,Not Available,Not Available,0.125611,0.377232,5.167296
1973 July,1.034037,1.841884,1.65724,0.215115,4.748276,0.07589,0.23567,0.001869,Not Available,Not Available,0.129787,0.367325,5.191492
1973 August,1.319832,1.857199,1.648505,0.216461,5.041997,0.084883,0.222077,0.001762,Not Available,Not Available,0.129918,0.353757,5.480638
1973 September,1.142385,1.803086,1.577362,0.208671,4.731504,0.085724,0.179733,0.001492,Not Available,Not Available,0.125782,0.307006,5.124234
1973 October,1.285586,1.836779,1.658452,0.217504,4.998321,0.081971,0.191723,0.00176,Not Available,Not Available,0.12997,0.323453,5.403745
1973 November,1.178337,1.825548,1.594008,0.21261,4.810504,0.088773,0.210285,0.001889,Not Available,Not Available,0.125643,0.337817,5.237093
1973 December,1.149749,1.886808,1.629568,0.214072,4.880197,0.087557,0.274435,0.002435,Not Available,Not Available,0.129824,0.406694,5.374447
1974 January,1.251148,1.895424,1.60631,0.20816,4.961042,0.084855,0.304506,0.002154,Not Available,Not Available,0.130807,0.437467,5.483364
1974 February,1.16539,1.728512,1.484696,0.191245,4.569843,0.090577,0.27995,0.001901,Not Available,Not Available,0.118091,0.399942,5.060362
1974 March,1.195337,1.860608,1.611977,0.213341,4.881263,0.097966,0.290582,0.002165,Not Available,Not Available,0.130727,0.423474,5.402702
1974 April,1.268152,1.747968,1.55799,0.201046,4.775157,0.079566,0.293702,0.002039,Not Available,Not Available,0.126583,0.422323,5.277046
1974 May,1.343967,1.813504,1.602122,0.207002,4.966595,0.073242,0.294828,0.00204,Not Available,Not Available,0.130789,0.427657,5.467495
1974 June,1.120607,1.709056,1.527761,0.199631,4.557055,0.079015,0.280695,0.001975,Not Available,Not Available,0.126611,0.409281,5.045352
1974 July,1.149793,1.784832,1.578667,0.202951,4.716243,0.113953,0.276772,0.002191,Not Available,Not Available,0.130756,0.409719,5.239915
1974 August,1.209619,1.757184,1.564057,0.205275,4.736135,0.137654,0.253175,0.002163,Not Available,Not Available,0.130763,0.386101,5.259889
1974 September,1.227477,1.723392,1.46907,0.194217,4.614156,0.12288,0.225274,0.001999,Not Available,Not Available,0.126637,0.35391,5.090946
1974 October,1.41053,1.734656,1.548304,0.206563,4.900053,0.121248,0.210955,0.00203,Not Available,Not Available,0.130718,0.343703,5.365003
1974 November,0.791646,1.697792,1.490971,0.200829,4.181238,0.122819,0.222713,0.002414,Not Available,Not Available,0.126506,0.351633,4.65569
1974 December,0.940784,1.757184,1.533068,0.204559,4.435595,0.148309,0.243428,0.00254,Not Available,Not Available,0.130674,0.376642,4.960546
1975 January,1.275523,1.737742,1.520203,0.19817,4.731639,0.153503,0.263371,0.002117,Not Available,Not Available,0.127269,0.392756,5.277898
1975 February,1.198498,1.607054,1.395202,0.180795,4.381549,0.140232,0.251317,0.002019,Not Available,Not Available,0.114942,0.368278,4.890059
1975 March,1.216907,1.697923,1.527123,0.201627,4.643579,0.163893,0.293961,0.002277,Not Available,Not Available,0.127251,0.42349,5.230962
1975 April,1.237491,1.632579,1.471448,0.192447,4.533965,0.146773,0.279947,0.002281,Not Available,Not Available,0.123139,0.405368,5.086106
1975 May,1.292673,1.649936,1.506504,0.195436,4.644549,0.15158,0.291504,0.002475,Not Available,Not Available,0.127303,0.421283,5.217412
1975 June,1.298947,1.595823,1.465219,0.193757,4.553746,0.140348,0.28531,0.00307,Not Available,Not Available,0.123241,0.411622,5.105715
1975 July,1.062764,1.637684,1.498766,0.19717,4.396385,0.169294,0.268081,0.003091,Not Available,Not Available,0.127288,0.398459,4.964138
1975 August,1.197399,1.637684,1.48313,0.200634,4.518846,0.174883,0.237557,0.003351,Not Available,Not Available,0.127321,0.36823,5.061959
1975 September,1.295192,1.565193,1.440656,0.185566,4.486607,0.158543,0.215793,0.002954,Not Available,Not Available,0.12321,0.341957,4.987107
