Year,Month,Latin America,Europe,Africa,Middle East,Asia Pacific,Total Intl.,Canada,U.S,Total World
2021,Jan,119,94,51,251,162,677,137,369,1183
2021,Feb,125,98,57,260,161,701,171,398,1270
2021,Mar,125,100,59,261,170,715,108,408,1231
2021,Apr,118,97,61,252,167,695,58,436,1189
2021,May,136,101,64,266,183,750,59,453,1262
2021,Jun,143,105,65,262,183,758,103,464,1325
2021,Jul,134,99,68,263,187,751,145,484,1380
2021,Aug,138,105,75,261,198,777,156,501,1434
2020,Jan,179,133,114,430,222,1078,204,791,2073
2020,Feb,184,130,120,427,224,1085,249,791,2125
2020,Mar,169,123,108,428,231,1059,133,772,1964
2020,Apr,89,112,103,420,191,915,33,566,1514
2020,May,62,111,61,375,196,805,23,348,1176
2020,Jun,71,110,60,343,197,781,18,274,1073
2020,Jul,74,105,56,315,193,743,32,255,1030
2020,Aug,75,109,62,301,200,747,53,250,1050
2020,Sep,83,113,55,282,169,702,60,257,1019
2020,Oct,86,101,54,245,170,656,80,280,1016
2020,Nov,101,102,63,239,164,669,95,310,1074
2020,Dec,109,97,53,242,164,665,100,339,1104
2019,Jan,195,86,109,402,232,1024,176,1065,2265
2019,Feb,182,94,113,398,240,1027,230,1049,2306
2019,Mar,188,95,127,395,234,1039,151,1023,2213
2019,Apr,190,98,126,412,236,1062,66,1012,2140
2019,May,179,186,123,410,228,1126,70,986,2182
2019,Jun,189,193,116,413,227,1138,114,969,2221
2019,Jul,201,200,111,424,226,1162,121,955,2238
2019,Aug,194,193,115,416,220,1138,142,926,2206
2019,Sep,189,176,115,425,226,1131,132,878,2141
2019,Oct,189,175,116,424,226,1130,145,848,2123
2019,Nov,196,147,116,417,220,1096,136,810,2042
2019,Dec,191,139,118,430,226,1104,135,804,2043
2018,Jan,191,84,80,383,222,960,278,937,2175
2018,Feb,199,84,90,396,210,979,323,969,2271
2018,Mar,193,89,89,397,204,972,218,989,2179
2018,Apr,189,88,94,398,209,978,98,1011,2087
2018,May,174,80,94,401,218,967,83,1046,2096
